Dependency,Ecosystem,Category,Repos Using,What It Does,Used In
@radix-ui/react-checkbox,js,Frameworks & Libraries,10.0,Accessible checkbox primitive (shadcn/ui),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-collapsible,js,Frameworks & Libraries,10.0,Collapsible primitive (shadcn/ui),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-label,js,Frameworks & Libraries,10.0,Accessible form label primitive (shadcn/ui),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-slot,js,Frameworks & Libraries,10.0,Component composition primitive (shadcn/ui core),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
date-fns,js,Frameworks & Libraries,10.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu.me, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto"
hex,rust,Frameworks & Libraries,10.0,,"andotherstuff/binostr, andotherstuff/nostr-rs-relay, andotherstuff/pensieve, marmot-protocol/mdk, marmot-protocol/nostr-openmls, marmot-protocol/openmls-lmdb-storage, marmot-protocol/openmls-redb-storage, marmot-protocol/openmls-sled-storage, marmot-protocol/transponder, marmot-protocol/whitenoise-rs"
recharts,js,Frameworks & Libraries,10.0,React charting library,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/marmots-web-chat, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
tokio,rust,Hosting Infra & Deploy,10.0,Rust async runtime (AOS Rust backend default),"andotherstuff/funnel, andotherstuff/groups_relay, andotherstuff/nostr-rs-relay, andotherstuff/pensieve, cashubtc/cdk, marmot-protocol/mdk, marmot-protocol/proton-beam, marmot-protocol/transponder, marmot-protocol/whitenoise-rs, marmot-protocol/wn-tui"
vaul,js,Frameworks & Libraries,10.0,React drawer component (shadcn/ui ecosystem),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/marmots-web-chat, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@hookform/resolvers,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-accordion,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-alert-dialog,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-aspect-ratio,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-avatar,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-context-menu,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-dialog,js,Frameworks & Libraries,9.0,Modal/dialog primitive (shadcn/ui),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-dropdown-menu,js,Frameworks & Libraries,9.0,Dropdown menu primitive (shadcn/ui),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-hover-card,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-menubar,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-navigation-menu,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-popover,js,Frameworks & Libraries,9.0,Popover primitive (shadcn/ui),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-progress,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-radio-group,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-scroll-area,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-select,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-separator,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-slider,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-switch,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-tabs,js,Frameworks & Libraries,9.0,Tabs primitive (shadcn/ui),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-toast,js,Frameworks & Libraries,9.0,Toast/notification primitive (shadcn/ui),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-toggle,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-toggle-group,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@radix-ui/react-tooltip,js,Frameworks & Libraries,9.0,Tooltip primitive (shadcn/ui),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
cmdk,js,Frameworks & Libraries,9.0,Command menu / command palette (shadcn/ui ecosystem),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
embla-carousel-react,js,Frameworks & Libraries,9.0,Carousel component for React,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
input-otp,js,Frameworks & Libraries,9.0,One-time-password input component,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
qrcode,js,Frameworks & Libraries,9.0,QR code generation library,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/nostr-compass-podcast, andotherstuff/nostr-rs-relay, andotherstuff/universes-legacy, cashubtc/cashu.me, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
